file,domain,formalism,action,input_path,output_path
ServerSocket_PerformancePreferences.mop,net,ere,copied,C:\UFPE\Siesta\project_LLM_spec\nl2spec\datasets\raw_mop\net\ServerSocket_PerformancePreferences.mop,C:\UFPE\Siesta\project_LLM_spec\nl2spec\datasets\dataset_mop\net\ServerSocket_PerformancePreferences.mop
ServerSocket_Port.mop,net,event,treated,C:\UFPE\Siesta\project_LLM_spec\nl2spec\datasets\raw_mop\net\ServerSocket_Port.mop,C:\UFPE\Siesta\project_LLM_spec\nl2spec\datasets\dataset_mop\net\ServerSocket_Port.mop
ServerSocket_ReuseAddress.mop,net,ere,copied,C:\UFPE\Siesta\project_LLM_spec\nl2spec\datasets\raw_mop\net\ServerSocket_ReuseAddress.mop,C:\UFPE\Siesta\project_LLM_spec\nl2spec\datasets\dataset_mop\net\ServerSocket_ReuseAddress.mop
ServerSocket_SetTimeoutBeforeBlocking.mop,net,ere,copied,C:\UFPE\Siesta\project_LLM_spec\nl2spec\datasets\raw_mop\net\ServerSocket_SetTimeoutBeforeBlocking.mop,C:\UFPE\Siesta\project_LLM_spec\nl2spec\datasets\dataset_mop\net\ServerSocket_SetTimeoutBeforeBlocking.mop
ServerSocket_Timeout.mop,net,event,treated,C:\UFPE\Siesta\project_LLM_spec\nl2spec\datasets\raw_mop\net\ServerSocket_Timeout.mop,C:\UFPE\Siesta\project_LLM_spec\nl2spec\datasets\dataset_mop\net\ServerSocket_Timeout.mop
Socket_CloseInput.mop,net,ere,copied,C:\UFPE\Siesta\project_LLM_spec\nl2spec\datasets\raw_mop\net\Socket_CloseInput.mop,C:\UFPE\Siesta\project_LLM_spec\nl2spec\datasets\dataset_mop\net\Socket_CloseInput.mop
Socket_CloseOutput.mop,net,ere,copied,C:\UFPE\Siesta\project_LLM_spec\nl2spec\datasets\raw_mop\net\Socket_CloseOutput.mop,C:\UFPE\Siesta\project_LLM_spec\nl2spec\datasets\dataset_mop\net\Socket_CloseOutput.mop
Socket_InputStreamUnavailable.mop,net,ere,copied,C:\UFPE\Siesta\project_LLM_spec\nl2spec\datasets\raw_mop\net\Socket_InputStreamUnavailable.mop,C:\UFPE\Siesta\project_LLM_spec\nl2spec\datasets\dataset_mop\net\Socket_InputStreamUnavailable.mop
Socket_LargeReceiveBuffer.mop,net,ere,copied,C:\UFPE\Siesta\project_LLM_spec\nl2spec\datasets\raw_mop\net\Socket_LargeReceiveBuffer.mop,C:\UFPE\Siesta\project_LLM_spec\nl2spec\datasets\dataset_mop\net\Socket_LargeReceiveBuffer.mop
Socket_OutputStreamUnavailable.mop,net,ere,copied,C:\UFPE\Siesta\project_LLM_spec\nl2spec\datasets\raw_mop\net\Socket_OutputStreamUnavailable.mop,C:\UFPE\Siesta\project_LLM_spec\nl2spec\datasets\dataset_mop\net\Socket_OutputStreamUnavailable.mop
Socket_PerformancePreferences.mop,net,ere,copied,C:\UFPE\Siesta\project_LLM_spec\nl2spec\datasets\raw_mop\net\Socket_PerformancePreferences.mop,C:\UFPE\Siesta\project_LLM_spec\nl2spec\datasets\dataset_mop\net\Socket_PerformancePreferences.mop
Socket_ReuseAddress.mop,net,ere,copied,C:\UFPE\Siesta\project_LLM_spec\nl2spec\datasets\raw_mop\net\Socket_ReuseAddress.mop,C:\UFPE\Siesta\project_LLM_spec\nl2spec\datasets\dataset_mop\net\Socket_ReuseAddress.mop
Socket_ReuseSocket.mop,net,ere,copied,C:\UFPE\Siesta\project_LLM_spec\nl2spec\datasets\raw_mop\net\Socket_ReuseSocket.mop,C:\UFPE\Siesta\project_LLM_spec\nl2spec\datasets\dataset_mop\net\Socket_ReuseSocket.mop
Socket_SetTimeoutBeforeBlockingInput.mop,net,fsm,copied,C:\UFPE\Siesta\project_LLM_spec\nl2spec\datasets\raw_mop\net\Socket_SetTimeoutBeforeBlockingInput.mop,C:\UFPE\Siesta\project_LLM_spec\nl2spec\datasets\dataset_mop\net\Socket_SetTimeoutBeforeBlockingInput.mop
Socket_SetTimeoutBeforeBlockingOutput.mop,net,fsm,copied,C:\UFPE\Siesta\project_LLM_spec\nl2spec\datasets\raw_mop\net\Socket_SetTimeoutBeforeBlockingOutput.mop,C:\UFPE\Siesta\project_LLM_spec\nl2spec\datasets\dataset_mop\net\Socket_SetTimeoutBeforeBlockingOutput.mop
Socket_Timeout.mop,net,event,treated,C:\UFPE\Siesta\project_LLM_spec\nl2spec\datasets\raw_mop\net\Socket_Timeout.mop,C:\UFPE\Siesta\project_LLM_spec\nl2spec\datasets\dataset_mop\net\Socket_Timeout.mop
Socket_TrafficClass.mop,net,event,treated,C:\UFPE\Siesta\project_LLM_spec\nl2spec\datasets\raw_mop\net\Socket_TrafficClass.mop,C:\UFPE\Siesta\project_LLM_spec\nl2spec\datasets\dataset_mop\net\Socket_TrafficClass.mop
SocketImpl_CloseOutput.mop,net,ere,copied,C:\UFPE\Siesta\project_LLM_spec\nl2spec\datasets\raw_mop\net\SocketImpl_CloseOutput.mop,C:\UFPE\Siesta\project_LLM_spec\nl2spec\datasets\dataset_mop\net\SocketImpl_CloseOutput.mop
SocketPermission_Actions.mop,net,event,treated,C:\UFPE\Siesta\project_LLM_spec\nl2spec\datasets\raw_mop\net\SocketPermission_Actions.mop,C:\UFPE\Siesta\project_LLM_spec\nl2spec\datasets\dataset_mop\net\SocketPermission_Actions.mop
URL_SetURLStreamHandlerFactory.mop,net,ere,copied,C:\UFPE\Siesta\project_LLM_spec\nl2spec\datasets\raw_mop\net\URL_SetURLStreamHandlerFactory.mop,C:\UFPE\Siesta\project_LLM_spec\nl2spec\datasets\dataset_mop\net\URL_SetURLStreamHandlerFactory.mop
URLConnection_Connect.mop,net,ere,copied,C:\UFPE\Siesta\project_LLM_spec\nl2spec\datasets\raw_mop\net\URLConnection_Connect.mop,C:\UFPE\Siesta\project_LLM_spec\nl2spec\datasets\dataset_mop\net\URLConnection_Connect.mop
URLConnection_OverrideGetPermission.mop,net,event,treated,C:\UFPE\Siesta\project_LLM_spec\nl2spec\datasets\raw_mop\net\URLConnection_OverrideGetPermission.mop,C:\UFPE\Siesta\project_LLM_spec\nl2spec\datasets\dataset_mop\net\URLConnection_OverrideGetPermission.mop
URLConnection_SetBeforeConnect.mop,net,ere,copied,C:\UFPE\Siesta\project_LLM_spec\nl2spec\datasets\raw_mop\net\URLConnection_SetBeforeConnect.mop,C:\UFPE\Siesta\project_LLM_spec\nl2spec\datasets\dataset_mop\net\URLConnection_SetBeforeConnect.mop
URLDecoder_DecodeUTF8.mop,net,event,treated,C:\UFPE\Siesta\project_LLM_spec\nl2spec\datasets\raw_mop\net\URLDecoder_DecodeUTF8.mop,C:\UFPE\Siesta\project_LLM_spec\nl2spec\datasets\dataset_mop\net\URLDecoder_DecodeUTF8.mop
URLEncoder_EncodeUTF8.mop,net,event,treated,C:\UFPE\Siesta\project_LLM_spec\nl2spec\datasets\raw_mop\net\URLEncoder_EncodeUTF8.mop,C:\UFPE\Siesta\project_LLM_spec\nl2spec\datasets\dataset_mop\net\URLEncoder_EncodeUTF8.mop
ArrayDeque_NonNull.mop,util,event,treated,C:\UFPE\Siesta\project_LLM_spec\nl2spec\datasets\raw_mop\util\ArrayDeque_NonNull.mop,C:\UFPE\Siesta\project_LLM_spec\nl2spec\datasets\dataset_mop\util\ArrayDeque_NonNull.mop
ArrayDeque_UnsafeIterator.mop,util,ere,copied,C:\UFPE\Siesta\project_LLM_spec\nl2spec\datasets\raw_mop\util\ArrayDeque_UnsafeIterator.mop,C:\UFPE\Siesta\project_LLM_spec\nl2spec\datasets\dataset_mop\util\ArrayDeque_UnsafeIterator.mop
Arrays_Comparable.mop,util,event,treated,C:\UFPE\Siesta\project_LLM_spec\nl2spec\datasets\raw_mop\util\Arrays_Comparable.mop,C:\UFPE\Siesta\project_LLM_spec\nl2spec\datasets\dataset_mop\util\Arrays_Comparable.mop
Arrays_DeepHashCode.mop,util,event,treated,C:\UFPE\Siesta\project_LLM_spec\nl2spec\datasets\raw_mop\util\Arrays_DeepHashCode.mop,C:\UFPE\Siesta\project_LLM_spec\nl2spec\datasets\dataset_mop\util\Arrays_DeepHashCode.mop
Arrays_MutuallyComparable.mop,util,event,treated,C:\UFPE\Siesta\project_LLM_spec\nl2spec\datasets\raw_mop\util\Arrays_MutuallyComparable.mop,C:\UFPE\Siesta\project_LLM_spec\nl2spec\datasets\dataset_mop\util\Arrays_MutuallyComparable.mop
Arrays_SortBeforeBinarySearch.mop,util,fsm,copied,C:\UFPE\Siesta\project_LLM_spec\nl2spec\datasets\raw_mop\util\Arrays_SortBeforeBinarySearch.mop,C:\UFPE\Siesta\project_LLM_spec\nl2spec\datasets\dataset_mop\util\Arrays_SortBeforeBinarySearch.mop
Collection_HashCode.mop,util,event,treated,C:\UFPE\Siesta\project_LLM_spec\nl2spec\datasets\raw_mop\util\Collection_HashCode.mop,C:\UFPE\Siesta\project_LLM_spec\nl2spec\datasets\dataset_mop\util\Collection_HashCode.mop
Collection_StandardConstructors.mop,util,event,treated,C:\UFPE\Siesta\project_LLM_spec\nl2spec\datasets\raw_mop\util\Collection_StandardConstructors.mop,C:\UFPE\Siesta\project_LLM_spec\nl2spec\datasets\dataset_mop\util\Collection_StandardConstructors.mop
Collection_UnsafeIterator.mop,util,ere,copied,C:\UFPE\Siesta\project_LLM_spec\nl2spec\datasets\raw_mop\util\Collection_UnsafeIterator.mop,C:\UFPE\Siesta\project_LLM_spec\nl2spec\datasets\dataset_mop\util\Collection_UnsafeIterator.mop
Collection_UnsynchronizedAddAll.mop,util,ere,copied,C:\UFPE\Siesta\project_LLM_spec\nl2spec\datasets\raw_mop\util\Collection_UnsynchronizedAddAll.mop,C:\UFPE\Siesta\project_LLM_spec\nl2spec\datasets\dataset_mop\util\Collection_UnsynchronizedAddAll.mop
Collections_Comparable.mop,util,event,treated,C:\UFPE\Siesta\project_LLM_spec\nl2spec\datasets\raw_mop\util\Collections_Comparable.mop,C:\UFPE\Siesta\project_LLM_spec\nl2spec\datasets\dataset_mop\util\Collections_Comparable.mop
Collections_CopySize.mop,util,event,treated,C:\UFPE\Siesta\project_LLM_spec\nl2spec\datasets\raw_mop\util\Collections_CopySize.mop,C:\UFPE\Siesta\project_LLM_spec\nl2spec\datasets\dataset_mop\util\Collections_CopySize.mop
Collections_ImplementComparable.mop,util,event,treated,C:\UFPE\Siesta\project_LLM_spec\nl2spec\datasets\raw_mop\util\Collections_ImplementComparable.mop,C:\UFPE\Siesta\project_LLM_spec\nl2spec\datasets\dataset_mop\util\Collections_ImplementComparable.mop
Collections_NewSetFromMap.mop,util,ere,copied,C:\UFPE\Siesta\project_LLM_spec\nl2spec\datasets\raw_mop\util\Collections_NewSetFromMap.mop,C:\UFPE\Siesta\project_LLM_spec\nl2spec\datasets\dataset_mop\util\Collections_NewSetFromMap.mop
Collections_SortBeforeBinarySearch.mop,util,fsm,copied,C:\UFPE\Siesta\project_LLM_spec\nl2spec\datasets\raw_mop\util\Collections_SortBeforeBinarySearch.mop,C:\UFPE\Siesta\project_LLM_spec\nl2spec\datasets\dataset_mop\util\Collections_SortBeforeBinarySearch.mop
Collections_SynchronizedCollection.mop,util,ere,copied,C:\UFPE\Siesta\project_LLM_spec\nl2spec\datasets\raw_mop\util\Collections_SynchronizedCollection.mop,C:\UFPE\Siesta\project_LLM_spec\nl2spec\datasets\dataset_mop\util\Collections_SynchronizedCollection.mop
Collections_SynchronizedMap.mop,util,ere,copied,C:\UFPE\Siesta\project_LLM_spec\nl2spec\datasets\raw_mop\util\Collections_SynchronizedMap.mop,C:\UFPE\Siesta\project_LLM_spec\nl2spec\datasets\dataset_mop\util\Collections_SynchronizedMap.mop
Collections_UnnecessaryNewSetFromMap.mop,util,event,treated,C:\UFPE\Siesta\project_LLM_spec\nl2spec\datasets\raw_mop\util\Collections_UnnecessaryNewSetFromMap.mop,C:\UFPE\Siesta\project_LLM_spec\nl2spec\datasets\dataset_mop\util\Collections_UnnecessaryNewSetFromMap.mop
Deque_OfferRatherThanAdd.mop,util,ere,copied,C:\UFPE\Siesta\project_LLM_spec\nl2spec\datasets\raw_mop\util\Deque_OfferRatherThanAdd.mop,C:\UFPE\Siesta\project_LLM_spec\nl2spec\datasets\dataset_mop\util\Deque_OfferRatherThanAdd.mop
Dictionary_NullKeyOrValue.mop,util,event,treated,C:\UFPE\Siesta\project_LLM_spec\nl2spec\datasets\raw_mop\util\Dictionary_NullKeyOrValue.mop,C:\UFPE\Siesta\project_LLM_spec\nl2spec\datasets\dataset_mop\util\Dictionary_NullKeyOrValue.mop
Dictionary_Obsolete.mop,util,ere,copied,C:\UFPE\Siesta\project_LLM_spec\nl2spec\datasets\raw_mop\util\Dictionary_Obsolete.mop,C:\UFPE\Siesta\project_LLM_spec\nl2spec\datasets\dataset_mop\util\Dictionary_Obsolete.mop
Enumeration_Obsolete.mop,util,ere,copied,C:\UFPE\Siesta\project_LLM_spec\nl2spec\datasets\raw_mop\util\Enumeration_Obsolete.mop,C:\UFPE\Siesta\project_LLM_spec\nl2spec\datasets\dataset_mop\util\Enumeration_Obsolete.mop
EnumMap_NonNull.mop,util,event,treated,C:\UFPE\Siesta\project_LLM_spec\nl2spec\datasets\raw_mop\util\EnumMap_NonNull.mop,C:\UFPE\Siesta\project_LLM_spec\nl2spec\datasets\dataset_mop\util\EnumMap_NonNull.mop
EnumSet_NonNull.mop,util,event,treated,C:\UFPE\Siesta\project_LLM_spec\nl2spec\datasets\raw_mop\util\EnumSet_NonNull.mop,C:\UFPE\Siesta\project_LLM_spec\nl2spec\datasets\dataset_mop\util\EnumSet_NonNull.mop
InvalidPropertiesFormatException_NonSerializable.mop,util,event,treated,C:\UFPE\Siesta\project_LLM_spec\nl2spec\datasets\raw_mop\util\InvalidPropertiesFormatException_NonSerializable.mop,C:\UFPE\Siesta\project_LLM_spec\nl2spec\datasets\dataset_mop\util\InvalidPropertiesFormatException_NonSerializable.mop
Iterator_HasNext.mop,util,ltl,copied,C:\UFPE\Siesta\project_LLM_spec\nl2spec\datasets\raw_mop\util\Iterator_HasNext.mop,C:\UFPE\Siesta\project_LLM_spec\nl2spec\datasets\dataset_mop\util\Iterator_HasNext.mop
Iterator_RemoveOnce.mop,util,ere,copied,C:\UFPE\Siesta\project_LLM_spec\nl2spec\datasets\raw_mop\util\Iterator_RemoveOnce.mop,C:\UFPE\Siesta\project_LLM_spec\nl2spec\datasets\dataset_mop\util\Iterator_RemoveOnce.mop
List_UnsafeListIterator.mop,util,ere,copied,C:\UFPE\Siesta\project_LLM_spec\nl2spec\datasets\raw_mop\util\List_UnsafeListIterator.mop,C:\UFPE\Siesta\project_LLM_spec\nl2spec\datasets\dataset_mop\util\List_UnsafeListIterator.mop
List_UnsynchronizedSubList.mop,util,ere,copied,C:\UFPE\Siesta\project_LLM_spec\nl2spec\datasets\raw_mop\util\List_UnsynchronizedSubList.mop,C:\UFPE\Siesta\project_LLM_spec\nl2spec\datasets\dataset_mop\util\List_UnsynchronizedSubList.mop
ListIterator_hasNextPrevious.mop,util,fsm,copied,C:\UFPE\Siesta\project_LLM_spec\nl2spec\datasets\raw_mop\util\ListIterator_hasNextPrevious.mop,C:\UFPE\Siesta\project_LLM_spec\nl2spec\datasets\dataset_mop\util\ListIterator_hasNextPrevious.mop
ListIterator_RemoveOnce.mop,util,ere,copied,C:\UFPE\Siesta\project_LLM_spec\nl2spec\datasets\raw_mop\util\ListIterator_RemoveOnce.mop,C:\UFPE\Siesta\project_LLM_spec\nl2spec\datasets\dataset_mop\util\ListIterator_RemoveOnce.mop
ListIterator_Set.mop,util,ere,copied,C:\UFPE\Siesta\project_LLM_spec\nl2spec\datasets\raw_mop\util\ListIterator_Set.mop,C:\UFPE\Siesta\project_LLM_spec\nl2spec\datasets\dataset_mop\util\ListIterator_Set.mop
Map_CollectionViewAdd.mop,util,ere,copied,C:\UFPE\Siesta\project_LLM_spec\nl2spec\datasets\raw_mop\util\Map_CollectionViewAdd.mop,C:\UFPE\Siesta\project_LLM_spec\nl2spec\datasets\dataset_mop\util\Map_CollectionViewAdd.mop
Map_ItselfAsKey.mop,util,event,treated,C:\UFPE\Siesta\project_LLM_spec\nl2spec\datasets\raw_mop\util\Map_ItselfAsKey.mop,C:\UFPE\Siesta\project_LLM_spec\nl2spec\datasets\dataset_mop\util\Map_ItselfAsKey.mop
Map_ItselfAsValue.mop,util,event,treated,C:\UFPE\Siesta\project_LLM_spec\nl2spec\datasets\raw_mop\util\Map_ItselfAsValue.mop,C:\UFPE\Siesta\project_LLM_spec\nl2spec\datasets\dataset_mop\util\Map_ItselfAsValue.mop
Map_StandardConstructors.mop,util,event,treated,C:\UFPE\Siesta\project_LLM_spec\nl2spec\datasets\raw_mop\util\Map_StandardConstructors.mop,C:\UFPE\Siesta\project_LLM_spec\nl2spec\datasets\dataset_mop\util\Map_StandardConstructors.mop
Map_UnsafeIterator.mop,util,ere,copied,C:\UFPE\Siesta\project_LLM_spec\nl2spec\datasets\raw_mop\util\Map_UnsafeIterator.mop,C:\UFPE\Siesta\project_LLM_spec\nl2spec\datasets\dataset_mop\util\Map_UnsafeIterator.mop
Map_UnsynchronizedAddAll.mop,util,ere,copied,C:\UFPE\Siesta\project_LLM_spec\nl2spec\datasets\raw_mop\util\Map_UnsynchronizedAddAll.mop,C:\UFPE\Siesta\project_LLM_spec\nl2spec\datasets\dataset_mop\util\Map_UnsynchronizedAddAll.mop
NavigableMap_Modification.mop,util,ere,copied,C:\UFPE\Siesta\project_LLM_spec\nl2spec\datasets\raw_mop\util\NavigableMap_Modification.mop,C:\UFPE\Siesta\project_LLM_spec\nl2spec\datasets\dataset_mop\util\NavigableMap_Modification.mop
NavigableMap_UnsafeIterator.mop,util,ere,copied,C:\UFPE\Siesta\project_LLM_spec\nl2spec\datasets\raw_mop\util\NavigableMap_UnsafeIterator.mop,C:\UFPE\Siesta\project_LLM_spec\nl2spec\datasets\dataset_mop\util\NavigableMap_UnsafeIterator.mop
NavigableSet_Modification.mop,util,ere,copied,C:\UFPE\Siesta\project_LLM_spec\nl2spec\datasets\raw_mop\util\NavigableSet_Modification.mop,C:\UFPE\Siesta\project_LLM_spec\nl2spec\datasets\dataset_mop\util\NavigableSet_Modification.mop
PriorityQueue_NonComparable.mop,util,event,treated,C:\UFPE\Siesta\project_LLM_spec\nl2spec\datasets\raw_mop\util\PriorityQueue_NonComparable.mop,C:\UFPE\Siesta\project_LLM_spec\nl2spec\datasets\dataset_mop\util\PriorityQueue_NonComparable.mop
PriorityQueue_NonNull.mop,util,event,treated,C:\UFPE\Siesta\project_LLM_spec\nl2spec\datasets\raw_mop\util\PriorityQueue_NonNull.mop,C:\UFPE\Siesta\project_LLM_spec\nl2spec\datasets\dataset_mop\util\PriorityQueue_NonNull.mop
Properties_ManipulateAfterLoad.mop,util,ere,copied,C:\UFPE\Siesta\project_LLM_spec\nl2spec\datasets\raw_mop\util\Properties_ManipulateAfterLoad.mop,C:\UFPE\Siesta\project_LLM_spec\nl2spec\datasets\dataset_mop\util\Properties_ManipulateAfterLoad.mop
Random_OverrideNext.mop,util,event,treated,C:\UFPE\Siesta\project_LLM_spec\nl2spec\datasets\raw_mop\util\Random_OverrideNext.mop,C:\UFPE\Siesta\project_LLM_spec\nl2spec\datasets\dataset_mop\util\Random_OverrideNext.mop
ResourceBundleControl_MutateFormatList.mop,util,ere,copied,C:\UFPE\Siesta\project_LLM_spec\nl2spec\datasets\raw_mop\util\ResourceBundleControl_MutateFormatList.mop,C:\UFPE\Siesta\project_LLM_spec\nl2spec\datasets\dataset_mop\util\ResourceBundleControl_MutateFormatList.mop
Scanner_ManipulateAfterClose.mop,util,ere,copied,C:\UFPE\Siesta\project_LLM_spec\nl2spec\datasets\raw_mop\util\Scanner_ManipulateAfterClose.mop,C:\UFPE\Siesta\project_LLM_spec\nl2spec\datasets\dataset_mop\util\Scanner_ManipulateAfterClose.mop
Scanner_SearchAfterClose.mop,util,ere,copied,C:\UFPE\Siesta\project_LLM_spec\nl2spec\datasets\raw_mop\util\Scanner_SearchAfterClose.mop,C:\UFPE\Siesta\project_LLM_spec\nl2spec\datasets\dataset_mop\util\Scanner_SearchAfterClose.mop
ServiceLoader_MultipleConcurrentThreads.mop,util,ere,copied,C:\UFPE\Siesta\project_LLM_spec\nl2spec\datasets\raw_mop\util\ServiceLoader_MultipleConcurrentThreads.mop,C:\UFPE\Siesta\project_LLM_spec\nl2spec\datasets\dataset_mop\util\ServiceLoader_MultipleConcurrentThreads.mop
ServiceLoaderIterator_Remove.mop,util,ere,copied,C:\UFPE\Siesta\project_LLM_spec\nl2spec\datasets\raw_mop\util\ServiceLoaderIterator_Remove.mop,C:\UFPE\Siesta\project_LLM_spec\nl2spec\datasets\dataset_mop\util\ServiceLoaderIterator_Remove.mop
Set_ItselfAsElement.mop,util,event,treated,C:\UFPE\Siesta\project_LLM_spec\nl2spec\datasets\raw_mop\util\Set_ItselfAsElement.mop,C:\UFPE\Siesta\project_LLM_spec\nl2spec\datasets\dataset_mop\util\Set_ItselfAsElement.mop
SortedMap_StandardConstructors.mop,util,event,treated,C:\UFPE\Siesta\project_LLM_spec\nl2spec\datasets\raw_mop\util\SortedMap_StandardConstructors.mop,C:\UFPE\Siesta\project_LLM_spec\nl2spec\datasets\dataset_mop\util\SortedMap_StandardConstructors.mop
SortedSet_Comparable.mop,util,event,treated,C:\UFPE\Siesta\project_LLM_spec\nl2spec\datasets\raw_mop\util\SortedSet_Comparable.mop,C:\UFPE\Siesta\project_LLM_spec\nl2spec\datasets\dataset_mop\util\SortedSet_Comparable.mop
SortedSet_StandardConstructors.mop,util,event,treated,C:\UFPE\Siesta\project_LLM_spec\nl2spec\datasets\raw_mop\util\SortedSet_StandardConstructors.mop,C:\UFPE\Siesta\project_LLM_spec\nl2spec\datasets\dataset_mop\util\SortedSet_StandardConstructors.mop
StringTokenizer_HasMoreElements.mop,util,ltl,copied,C:\UFPE\Siesta\project_LLM_spec\nl2spec\datasets\raw_mop\util\StringTokenizer_HasMoreElements.mop,C:\UFPE\Siesta\project_LLM_spec\nl2spec\datasets\dataset_mop\util\StringTokenizer_HasMoreElements.mop
TreeMap_Comparable.mop,util,event,treated,C:\UFPE\Siesta\project_LLM_spec\nl2spec\datasets\raw_mop\util\TreeMap_Comparable.mop,C:\UFPE\Siesta\project_LLM_spec\nl2spec\datasets\dataset_mop\util\TreeMap_Comparable.mop
TreeSet_Comparable.mop,util,event,treated,C:\UFPE\Siesta\project_LLM_spec\nl2spec\datasets\raw_mop\util\TreeSet_Comparable.mop,C:\UFPE\Siesta\project_LLM_spec\nl2spec\datasets\dataset_mop\util\TreeSet_Comparable.mop
Vector_InsertIndex.mop,util,event,treated,C:\UFPE\Siesta\project_LLM_spec\nl2spec\datasets\raw_mop\util\Vector_InsertIndex.mop,C:\UFPE\Siesta\project_LLM_spec\nl2spec\datasets\dataset_mop\util\Vector_InsertIndex.mop
