dataset,formalism,rank,selected_fewshot,distance
CharSequence_UndefinedHashCode,event,2,event_04.json,8.000000
CharSequence_UndefinedHashCode,event,3,event_06.json,10.000000
ClassLoader_UnsafeClassDefinition,event,1,event_01.json,0.000000
ClassLoader_UnsafeClassDefinition,event,2,event_06.json,3.000000
ClassLoader_UnsafeClassDefinition,event,3,event_03.json,4.000000
Comparable_CompareToNull,event,1,event_01.json,0.000000
Comparable_CompareToNull,event,2,event_06.json,3.000000
Comparable_CompareToNull,event,3,event_03.json,4.000000
Comparable_CompareToNullException,event,1,event_04.json,2.000000
Comparable_CompareToNullException,event,2,event_03.json,7.000000
Comparable_CompareToNullException,event,3,event_06.json,8.000000
Double_StaticFactory,event,1,event_03.json,3.000000
Double_StaticFactory,event,2,event_01.json,7.000000
Double_StaticFactory,event,3,event_06.json,10.000000
Enum_NoExtraWhiteSpace,event,1,event_06.json,0.000000
Enum_NoExtraWhiteSpace,event,2,event_01.json,3.000000
Enum_NoExtraWhiteSpace,event,3,event_02.json,3.000000
Enum_NoOrdinal,event,1,event_01.json,3.000000
Enum_NoOrdinal,event,2,event_06.json,6.000000
Enum_NoOrdinal,event,3,event_03.json,7.000000
Enum_UserFriendlyName,event,1,event_01.json,3.000000
Enum_UserFriendlyName,event,2,event_06.json,6.000000
Enum_UserFriendlyName,event,3,event_03.json,7.000000
Float_StaticFactory,event,1,event_03.json,3.000000
Float_StaticFactory,event,2,event_01.json,7.000000
Float_StaticFactory,event,3,event_06.json,10.000000
Integer_BadDecodeArg,event,1,event_06.json,0.000000
Integer_BadDecodeArg,event,2,event_01.json,3.000000
Integer_BadDecodeArg,event,3,event_02.json,3.000000
Integer_StaticFactory,event,1,event_03.json,3.000000
Integer_StaticFactory,event,2,event_01.json,7.000000
Integer_StaticFactory,event,3,event_06.json,10.000000
Long_BadDecodeArg,event,1,event_06.json,0.000000
Long_BadDecodeArg,event,2,event_01.json,3.000000
Long_BadDecodeArg,event,3,event_02.json,3.000000
Long_BadParsingArgs,event,1,event_02.json,4.000000
Long_BadParsingArgs,event,2,event_04.json,5.000000
Long_BadParsingArgs,event,3,event_05.json,6.000000
Long_StaticFactory,event,1,event_03.json,3.000000
Long_StaticFactory,event,2,event_01.json,7.000000
Long_StaticFactory,event,3,event_06.json,10.000000
Object_MonitorOwner,event,1,event_04.json,2.000000
Object_MonitorOwner,event,2,event_06.json,4.000000
Object_MonitorOwner,event,3,event_01.json,7.000000
