id,provider,model,selection,shot_mode,k,domain,ir_type,start_timestamp,end_timestamp,generation_time_ms
Scanner_SearchAfterClose,DeepSeek,deepseek-v4-pro,mmr_irsp,few,3,util,ere,1778083296.517999,1778083356.0895784,59571.579
SecurityManager_Permission,DeepSeek,deepseek-v4-pro,mmr_irsp,few,3,lang,ere,1778083356.1081512,1778083471.7004013,115592.25
ServerSocket_LargeReceiveBuffer,DeepSeek,deepseek-v4-pro,mmr_irsp,few,3,net,ere,1778083471.7183752,1778083583.7594237,112041.049
ServerSocket_PerformancePreferences,DeepSeek,deepseek-v4-pro,mmr_irsp,few,3,net,ere,1778083583.7953992,1778083645.8714237,62076.025
ServerSocket_ReuseAddress,DeepSeek,deepseek-v4-pro,mmr_irsp,few,3,net,ere,1778083645.885237,1778083700.2317214,54346.484
ServerSocket_SetTimeoutBeforeBlocking,DeepSeek,deepseek-v4-pro,mmr_irsp,few,3,net,ere,1778083700.25164,1778083797.4125347,97160.895
ServiceLoaderIterator_Remove,DeepSeek,deepseek-v4-pro,mmr_irsp,few,3,util,ere,1778083797.4335647,1778083879.2525024,81818.938
ServiceLoader_MultipleConcurrentThreads,DeepSeek,deepseek-v4-pro,mmr_irsp,few,3,util,ere,1778083879.2683852,1778083968.6833398,89414.955
ShutdownHook_LateRegister,DeepSeek,deepseek-v4-pro,mmr_irsp,few,3,lang,ere,1778083968.7001383,1778084063.9744694,95274.331
SocketImpl_CloseOutput,DeepSeek,deepseek-v4-pro,mmr_irsp,few,3,net,ere,1778084063.994405,1778084097.1249604,33130.555
Socket_CloseInput,DeepSeek,deepseek-v4-pro,mmr_irsp,few,3,net,ere,1778084097.136961,1778084143.374368,46237.407
Socket_CloseOutput,DeepSeek,deepseek-v4-pro,mmr_irsp,few,3,net,ere,1778084143.3922327,1778084186.848604,43456.371
Socket_InputStreamUnavailable,DeepSeek,deepseek-v4-pro,mmr_irsp,few,3,net,ere,1778084186.8636465,1778084321.8051338,134941.487
Socket_LargeReceiveBuffer,DeepSeek,deepseek-v4-pro,mmr_irsp,few,3,net,ere,1778084321.822197,1778084413.1279929,91305.796
Socket_OutputStreamUnavailable,DeepSeek,deepseek-v4-pro,mmr_irsp,few,3,net,ere,1778084413.1507375,1778084495.778582,82627.845
Socket_PerformancePreferences,DeepSeek,deepseek-v4-pro,mmr_irsp,few,3,net,ere,1778084495.8076437,1778084589.8005364,93992.893
Socket_ReuseAddress,DeepSeek,deepseek-v4-pro,mmr_irsp,few,3,net,ere,1778084589.8225346,1778084658.4076576,68585.123
Socket_ReuseSocket,DeepSeek,deepseek-v4-pro,mmr_irsp,few,3,net,ere,1778084658.4237058,1778084718.59026,60166.554
StrictMath_ContendedRandom,DeepSeek,deepseek-v4-pro,mmr_irsp,few,3,lang,ere,1778084718.6163166,1778084856.691385,138075.068
StringBuffer_SingleThreadUsage,DeepSeek,deepseek-v4-pro,mmr_irsp,few,3,lang,ere,1778084856.709456,1778084935.1117487,78402.293
StringBuilder_ThreadSafe,DeepSeek,deepseek-v4-pro,mmr_irsp,few,3,lang,ere,1778084935.1327577,1778085017.2507045,82117.947
System_WrongKeyOrValue,DeepSeek,deepseek-v4-pro,mmr_irsp,few,3,lang,ere,1778085017.2697244,1778085158.6549635,141385.239
Thread_SetDaemonBeforeStart,DeepSeek,deepseek-v4-pro,mmr_irsp,few,3,lang,ere,1778085158.672007,1778085228.6134872,69941.48
Thread_StartOnce,DeepSeek,deepseek-v4-pro,mmr_irsp,few,3,lang,ere,1778085228.633493,1778085256.8550873,28221.594
Throwable_InitCauseOnce,DeepSeek,deepseek-v4-pro,mmr_irsp,few,3,lang,ere,1778085256.8721673,1778085395.4028573,138530.69
URLConnection_Connect,DeepSeek,deepseek-v4-pro,mmr_irsp,few,3,net,ere,1778085395.4307842,1778085453.4861383,58055.354
URLConnection_SetBeforeConnect,DeepSeek,deepseek-v4-pro,mmr_irsp,few,3,net,ere,1778085453.5015008,1778085521.8762164,68374.716
URL_SetURLStreamHandlerFactory,DeepSeek,deepseek-v4-pro,mmr_irsp,few,3,net,ere,1778085521.8942623,1778085579.4684315,57574.169
Writer_ManipulateAfterClose,DeepSeek,deepseek-v4-pro,mmr_irsp,few,3,io,ere,1778085579.4903128,1778085641.8557472,62365.434
